,Atha_Ws_root_GC_Rep1,Atha_Ws_root_GC_Rep2,Atha_Ws_root_GC_Rep3,Atha_Ws_root_FLT_Rep1,Atha_Ws_root_FLT_Rep2,Atha_Ws_root_FLT_Rep3,Atha_Ws_leaf_GC_Rep1,Atha_Ws_leaf_GC_Rep2,Atha_Ws_leaf_GC_Rep3,Atha_Ws_leaf_FLT_Rep1,Atha_Ws_leaf_FLT_Rep2,Atha_Ws_leaf_FLT_Rep3
AT2G05665,0,0,1,0,0,1,0,0,1,0,0,0
AT2G05675,0,0,0,0,0,0,0,1,0,0,0,0
AT2G05685,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05695,0,0,0,0,0,0,0,0,2,0,0,0
AT2G05705,0,0,0,0,0,0,0,0,0,1,0,0
AT2G05710,15346,14408,16588,10051,7059,9504,12294,14102,19153,7132,10585,8853
AT2G05720,0,0,0,0,0,0,0,1,0,0,0,0
AT2G05725,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05752,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05753,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05755,472,490,549,400,387,351,381,475,612,344,402,296
AT2G05760,270,275,283,201,260,200,254,267,306,215,265,154
AT2G05765,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05785,0,0,0,0,0,0,0,0,0,2,0,0
AT2G05786,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05790,3772,3389,4114,4963,5119,4651,3322,4062,4982,4842,5936,4092
AT2G05810,550.43,607.95,569.49,427.21,450.96,472.74,541.64,575.4,803.2,378.9,393.41,351.31
AT2G05812,78.57,7.05,98.51,70.79,92.04,28.26,17.36,54.6,54.8,30.1,26.59,7.69
AT2G05815,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05825,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05830,1590,1703,1761,1701,1656,1783,1793,1549,2373,1588,1766,1512
AT2G05835,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05840,3498,3428,4010,1879,2005,2160,3678,3480,5096.44,2219,2419,2069
AT2G05850,0,0,0,7,1,0,0,0,1,4,4,0
AT2G05855,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05865,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05875,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05885,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05895,2,3,8,3,2,5,3,4,12,0,2,9
AT2G05900,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05905,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05910,179,188,175,17,16,12,186,179,228,14,8,3
AT2G05914,5867,5807,6701,7689,6350,6808,6455,6679,7564,6193,6633,5056
AT2G05915,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05920,10345,9962,11169,8253,7616,6794,8488,9830,11692,6236,6565,5092
AT2G05925,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05940,791,1514,753,1259,1872,1145,706,800,774,1007,906,935
AT2G05945,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05965,0,0,0,0,0,0,0,0,1,0,0,0
AT2G05970,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05975,0,0,0,0,0,0,0,0,0,0,0,0
AT2G05990,7554,6222,7507,6117,6172,6937,5057,6043,9334,6450,6462,4529
AT2G05995,64,71,75,62,99,75,64,84,90,56,53,40
AT2G06000,742,571,784,727,651,710,616,638,995,510,448,380
AT2G06002,0,0,1,19,29,39,0,1,0,22,28,20
AT2G06005,271,315,314,145,169,171,297,282,421,151,126,117
AT2G06010,590,604,655,711,748,763,617,658,792,724,944,722
AT2G06020,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06025,550,497,615,990,984,1031,564,537,611,927,1123,926
AT2G06035,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06040,363,388,417,212,215,222,362,429,537,221,245,188
AT2G06050,1607,2058,1750,1838,2344,1627,1884,1952,2498,2492,2581,2969
AT2G06065,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06075,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06085,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06090,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06095,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06105,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06115,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06135,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06145,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06166,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06175,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06185,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06200,66,74,94,33,45,45,59,34,106,50,34,24
AT2G06210,1802,1627,1930,1868,1525,1804,1336,1732,2309,1407,2024,1579
AT2G06215,0,0,0,0,0,0,0,1,0,0,0,0
AT2G06225,0,0,0,0,0,0,0,0,0,1,0,0
AT2G06255,108,117,102,91,105,85,97,124,144,113,111,75
AT2G06265,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06275,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06305,1,2,1,0,0,0,2,0,2,0,0,0
AT2G06315,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06345,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06355,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06365,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06375,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06385,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06395,0,0,0,2,1,2,0,0,0,0,1,0
AT2G06405,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06415,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06420,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06425,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06435,0,0,0,19,8,4,0,0,0,13,9,12
AT2G06445,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06455,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06465,0,0,1.91,1.88,3.29,0,3.23,0,0,0,0,0
AT2G06475,0,2,1.83,0,0,0,0,0,0,1,0,0
AT2G06485,5,2,8.17,2,0,2,1,4,0,0,0,0
AT2G06495,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06500,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06505,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06510,507,445,529,223,236,256,447,578,800,284,285,190
AT2G06515,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06520,601,639,808,28794,30555,30966,766,1154,870,18458,27708,22487
AT2G06525,0,0,0.91,0,0,0.95,0,0,0,0,0,0
AT2G06530,2009,2217,2252,1564,1911,1875,1865,1917,2864,1402,1860,1885
AT2G06535,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06541,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06555,0,0,0,0,0,2,0,0,0,0,0,0
AT2G06562,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06565,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06570,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06575,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06585,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06595,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06605,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06615,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06625,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06635,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06645,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06655,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06665,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06667,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06675,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06685,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06695,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06705,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06725,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06745,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06755,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06765,1,5,4,2,0,1,1,4,2,0,0,0
AT2G06785,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06795,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06805,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06815,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06835,6,6,10,0,1,0,9,8,17,0,0,0
AT2G06845,0,0,2,0,0,0,0,0,0,0,0,2
AT2G06850,2948,3069,3060,6999,11060,11472,2965,3329,3689,12517,12572,9135
AT2G06855,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06865,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06904,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06905,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06906,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06908,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06925,489,508,506,846,1433,2033,531,550,566,1540,1461,1061
AT2G06935,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06945,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06955,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06960,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06975,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06983,0,0,0,0,0,0,0,0,0,0,0,0
AT2G06990,2443,2113,2612,1850,1563,1884,1717,2212,3268,1592,1890,1455
AT2G06995,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07000,0,0,0,0,3,0,0,0,4,0,0,0
AT2G07005,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07015,2.14,0.76,4.6,212.82,208.72,214.9,2.49,13.21,27.01,153.4,155.55,154.54
AT2G07020,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07025,0,0,0,0,0,0,0,0,0,1,0,0
AT2G07035,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07040,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07042,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07045,1,0,0,0,0,0,0,0,0,0,0,0
AT2G07050,5665,4935,5607,4730,4641,5290,4127,5031,7277,4169,5497,4213
AT2G07055,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07085,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07095,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07110,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07115,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07120,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07135,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07140,1.03,0,0,24.84,10.28,17.45,0,0,0,5.38,11.72,3.48
AT2G07165,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07170,889.34,791,983,449,492,343,688,875,1242,474,426,302
AT2G07175,279.43,257.29,251.6,175.26,168.39,163.89,238.42,262.49,326.2,231.52,213.34,196.52
AT2G07180,948,952,1038,1226,1437,1362,1056,1045,1353,1672,2307,2285
AT2G07190,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07195,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07200,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07205,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07213,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07215,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07225,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07235,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07240,0,0,0,4,7,3,2,1,0,1,0,5
AT2G07245,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07255,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07265,0,0,0,0,0,1,0,1,2,0,0,0
AT2G07275,7.05,0.45,3.48,0.54,0,0,7.25,14.88,2.75,0,10.5,0
AT2G07280,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07285,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07290,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07295,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07305,116,36.93,91.98,44,37.89,16.16,57.68,150,0,59.88,23.35,0
AT2G07310,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07315,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07325,41.04,17.82,35.78,28.39,21.35,1.4,49.96,30.08,20.21,4.42,0,0
AT2G07335,111.16,148.87,128.05,149.85,129.77,166.82,134.5,119.67,175.87,137.78,164.75,88.48
AT2G07340,662,612,692,540,617,606,451,631,865,643,529,436
AT2G07345,0,0,0,0,0,0,0,0,0,0,0,1
AT2G07355,1,0,1,0,0,1,2,2,0,1,0,0
AT2G07360,5057,4427,5231,3481,3128,3457,4017,4879,6225,2864,4410,3431
AT2G07375,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07385,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07405,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07415,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07425,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07435,0,1,1,1,0,3,0,2,2,3,0,1
AT2G07440,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07445,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07475,34.12,79.63,87.33,143.03,149.79,31.14,47.69,74.18,35.35,36.62,88.66,42.81
AT2G07485,1,0,0,0,0,0,0,0,0,0,0,0
AT2G07495,0,0,0.27,0,0,0,0,0,0,0.92,0,0
AT2G07505,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07515,73.35,130.13,103.98,135.84,96.84,63.56,145.53,88.71,152.32,74.38,102.51,108.32
AT2G07525,0,4,1,0,0,0,0,0,2,1,0,0
AT2G07535,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07545,0,0,0,0,0,0,0,0,2,0,0,0
AT2G07555,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07560,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07565,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07575,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07585,34.34,12.37,22.45,37.6,19.97,23.28,17.97,17.37,27.43,31.88,37.95,17.48
AT2G07595,0,2.35,0,0,0,0,0,0,0,0,0,0
AT2G07599,0,0,3,0,2,1,0,0,1,2,2,0
AT2G07605,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07613,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07615,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07617,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07621,0,0,0,1,2,2,0,1,0,0,1,0
AT2G07623,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07625,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07626,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07627,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07628,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07629,1,0,1.26,0,1,0,0,0,0,0,1,0
AT2G07631,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07632,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07633,4,2,3,2,1,0,3,2,5,0,2,6
AT2G07634,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07636,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07637,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07638,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07640,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07641,5,4,17,8,9,7,25,6,12,4,3,5
AT2G07642,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07643,0,0,0,0,0,0,0,0,0,1,0,0
AT2G07644,0,0,1,0,1,2,1,2,0,0,0,0
AT2G07645,0,1,0,0,0,0,0,0,0,0,0,0
AT2G07646,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07648,0,0,0,0,0,2,0,0,0,2,0,0
AT2G07652,1,0,0,0,1,2,0,0,0,0,1,0
AT2G07654,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07655,0,1,3,0,7,4,2,0,0,3,0,0
AT2G07656,0,0,0,2,0,0,0,0,0,0,0,0
AT2G07658,0,3,0,0,2,0,1,0,1,0,0,1
AT2G07659,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07661,0,0,0,0,3,0,0,2,0,0,4,0
AT2G07662,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07665,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07667,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07669,1,4,0,3,0,1,0,6,0,1,2,3
AT2G07671,81,105,149,162.12,209.13,173.8,104.57,166,124,126,289,320.61
AT2G07672,6,1,1,5,5,15,1.08,7,3,2,2,8
AT2G07673,0,0,1,0,1,0,0,1,1,4,5,5
AT2G07674,0,4,11.42,5,0,2,8,7.33,7,6.39,6.16,16
AT2G07675,4.5,4.5,8.5,0.5,0,2,1.5,3.5,11,0.5,3,0.5
AT2G07676,0,0,2,0,0,2,0,0,2,0,0,0
AT2G07678,15,8,25.35,11.61,12,2.33,8.06,22,9.64,10.32,11,15.83
AT2G07680,1393,1253,1642,1323,1093,1144,1132,1161,1482,874,877,848
AT2G07681,0,0,0,0,1.09,2,0,0,0,0,0,0
AT2G07684,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07687,17.07,31.99,44.14,5.3,9.37,29.23,27.14,20.45,34.53,3.87,10.78,5.84
AT2G07689,0,3.24,3.79,0,0,0,0,6.06,5.05,2,0,2
AT2G07690,1452,1352,1699,1163,1246,1134,1226,1392,2034,1138,1148,889
AT2G07691,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07692,3,2,3,2,0,4,4,0,1,2,2,4
AT2G07695,8.5,2.17,3.69,11.06,12.36,8.46,4,11.71,3.23,20.95,18.79,5.31
AT2G07696,3.86,8,9,15.39,4,9.98,1,7.05,8,4,11,22
AT2G07698,98,118.29,220.54,100.4,91.68,85.36,157.19,192.9,122.84,46.4,134.89,101.89
AT2G07701,0.33,0,0,0,0.67,0,0,0,0,0,0,0
AT2G07702,0,0,1,0,0,0,0,0,0,1,0,0
AT2G07705,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07706,0,1,1,4,12,4,2,10,0,5,10,6
AT2G07707,6,4,7.5,8.5,16.5,14,7.5,5,7.5,9.5,20,16.5
AT2G07708,12,11.86,24.18,14.5,12,14.11,27,24,17,13.83,21,23
AT2G07713,0,0.5,0,0,0,0,0,0,0,0,0,0
AT2G07714,0,0,1,0,0,0,0,0,0,0,0,0
AT2G07715,72.02,61.23,93.06,55.98,69.04,34.32,55.96,91.59,98.09,58,33.09,59.7
AT2G07718,40,45,67,41,48,25,33.63,55.96,48,27,86,53.62
AT2G07719,4,9,12.9,14,30,16,8,9.7,6.23,15,16,31
AT2G07721,0,0,1,0,1,1,0,0,9,0,0,1
AT2G07722,0,0.33,0,0,0,0,0,0,1,0,0,0
AT2G07724,5,0,4,0,3,0,0,1,0,1,2,3
AT2G07725,23.07,19.16,35.13,26,9.2,18,17.56,17.32,21.31,16,14,31.99
AT2G07727,62,67.95,112.59,28.69,21,21,88,82,41,21,20.84,15.59
AT2G07728,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07732,0,1.02,0,0,0,0,0,0,0,0,0,2
AT2G07734,0,9,12.99,4,6,10,10,14,6.24,7,20,14
AT2G07738,0,0,0,0,0,4,0,0,0,0,0,0
AT2G07739,2.71,3.02,11.63,1.31,7.2,9.16,9.98,5.43,5.44,13.73,13.05,11.99
AT2G07741,5.21,0,3.63,0,27.59,0,0.01,17.1,0,4.52,0,0
AT2G07743,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07745,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07746,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07748,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07749,3.72,7,6.35,5,9,13.37,6,10.61,6,10,24,21
AT2G07750,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07751,8,2,1,2,1,0,0,0,4,4,2,1
AT2G07752,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07753,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07754,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07755,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07756,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07757,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07758,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07759,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07760,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07761,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07762,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07763,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07764,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07765,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07766,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07768,0,0,0,0,0,0,0,0,0,0,1,0
AT2G07771,2.5,1,4,0.5,2.96,0,0,1.5,0.5,1.5,1.5,1.5
AT2G07772,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07773,0,0,2,1,2,2,0,2,8,1,6,11
AT2G07774,0,0,0,0,1,0,0,1,1,0,1,1
AT2G07775,1,0,0,0,0,0,0,0,0,0,1,0
AT2G07776,2,1.05,4,10,1,4,10,6,9,2,3,10
AT2G07777,2,0,14.03,5,2,9.09,6,8,1,6,1,20.67
AT2G07779,2,9,8,18,24,8,11,5,5,11,13,19
AT2G07785,3,0,8.44,4,3,3,2,1.04,5,5.42,5,0
AT2G07787,6,12,10,4,4,9,8,6,7,10,21,5
AT2G07792,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07793,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07794,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07795,0,1,0,1,1,0,0,2,4,0,3,1
AT2G07798,0,0,0,0,0,0,0,1,0,0,0,3
AT2G07800,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07805,3.57,6.21,3.65,0,0.77,0,0,1.41,4.33,0,3.67,0
AT2G07806,0,0,0,0,0,0,0,0,0,0,0,1
AT2G07810,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07815,3,2,7.08,1,1,1,5,1,2,3,3.08,2
AT2G07820,0,0,0,0,0,0,0,1,0,0,0,0
AT2G07825,0,0,0,0,1,0,2,0,1,0,0,0
AT2G07827,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07830,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07835,1,0,5,1,2,0,0,3,0,3,4,0
AT2G07840,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07845,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07850,243.5,283.03,315.13,37.42,55.69,24.57,294.01,225.3,221.81,19.05,30.18,22.6
AT2G07855,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07860,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07865,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07870,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07875,0,0,0,1,0,0,0,0,0,0,0,0
AT2G07885,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07890,0,0,0,0,0,0,0,0,0,1,0,0
AT2G07895,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07900,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07905,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07910,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07915,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07925,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07935,1,0,0,0,0,0,0,0,0,0,0,0
AT2G07940,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07945,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07950,0,1,0,3,0,0,0.28,2,0,0,0,0
AT2G07960,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07965,0,0,0,0,0,0,0,0,0,0,0,0.97
AT2G07970,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07975,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07981,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07985,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07990,0,0,0,0,0,0,0,0,0,0,0,0
AT2G07995,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08000,115.7,137.34,66.21,55.29,69.31,81,141.95,167.5,185.7,35.99,41.22,19.39
AT2G08005,0,3,0,0,0,0,0,0,2,0,0,0
AT2G08010,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08015,0,0,2,0,0,0,4,0,1,0,0,0
AT2G08020,2.11,0,0,0,0,2.82,0,1.9,0,0,0,0
AT2G08025,2,2,2,0,2,2,0,2,3,1,3,2
AT2G08030,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08035,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08040,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08045,0,0,1,0,0,0,0,0,0,0,0,0
AT2G08050,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08055,0,0,1,0,0,0,0,0,0,0,0,0
AT2G08060,0,0,0,0,57.76,0,0,2.88,0,0,0.07,0
AT2G08070,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08075,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08085,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08090,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08095,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08100,0,0,1,1,1,1,0,0,0,1,1,0
AT2G08105,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08110,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08115,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08120,3,2,0,0,0,0,0,2,0,1,4,0
AT2G08125,0,0,0,0,0,0,0,0,1,0,0,0
AT2G08130,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08135,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08150,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08155,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08160,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08165,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08175,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08180,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08190,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08195,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08200,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08205,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08210,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08215,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08220,0,0,0,2,5,4,0,0,0,5,3,1
AT2G08230,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08235,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08240,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08245,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08250,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08255,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08260,0,0,0,0,0,0,0,0,0,0,0,0
AT2G08265,0,0,0,0,0,0,0,0,0,0,0,0
